START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/13/22,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/13/22,06/13/22,10:07 PM,10:07 PM,FALSE,TRUE,06/13/22,06:07 PM,06:07 PM,FREE,BUSY
06/14/22,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/14/22,06/14/22,10:07 PM,10:07 PM,FALSE,TRUE,06/14/22,06:07 PM,06:07 PM,FREE,BUSY
06/15/22,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/15/22,06/15/22,10:07 PM,10:07 PM,FALSE,TRUE,06/15/22,06:07 PM,06:07 PM,FREE,BUSY
06/16/22,03:07 PM,03:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/16/22,06/16/22,06:07 PM,06:07 PM,FALSE,TRUE,06/16/22,02:07 PM,02:07 PM,FREE,BUSY
06/17/22,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",06/17/22,06/17/22,10:07 PM,10:07 PM,FALSE,TRUE,06/17/22,06:07 PM,06:07 PM,FREE,BUSY
06/18/22,03:07 PM,03:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",06/18/22,06/18/22,06:07 PM,06:07 PM,FALSE,TRUE,06/18/22,02:07 PM,02:07 PM,FREE,BUSY
06/19/22,01:37 PM,01:37 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",06/19/22,06/19/22,04:37 PM,04:37 PM,FALSE,TRUE,06/19/22,12:37 PM,12:37 PM,FREE,BUSY
06/20/22,08:10 PM,08:10 PM,Blue Jays at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: SN590",06/20/22,06/20/22,11:10 PM,11:10 PM,FALSE,TRUE,06/20/22,07:10 PM,07:10 PM,FREE,BUSY
06/21/22,08:10 PM,08:10 PM,Blue Jays at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: SN590",06/21/22,06/21/22,11:10 PM,11:10 PM,FALSE,TRUE,06/21/22,07:10 PM,07:10 PM,FREE,BUSY
06/22/22,02:10 PM,02:10 PM,Blue Jays at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: SN590",06/22/22,06/22/22,05:10 PM,05:10 PM,FALSE,TRUE,06/22/22,01:10 PM,01:10 PM,FREE,BUSY
06/24/22,08:10 PM,08:10 PM,Blue Jays at Brewers,American Family Field - Milwaukee,"",06/24/22,06/24/22,11:10 PM,11:10 PM,FALSE,TRUE,06/24/22,07:10 PM,07:10 PM,FREE,BUSY
