REF_DATE	Month of death	VALUE
2016	Month of death, November	22349
2016	Month of death, December	24422
2017	Month of death, January	27177
2017	Month of death, February	23225
2017	Month of death, March	24641
2017	Month of death, April	22590
2017	Month of death, May	22484
2017	Month of death, June	20992
2017	Month of death, July	21503
2017	Month of death, August	21578
2017	Month of death, September	21451
2017	Month of death, October	22774
2017	Month of death, November	23133
2017	Month of death, December	25141
2018	Month of death, January	28814
2018	Month of death, February	24061
2018	Month of death, March	25271
2018	Month of death, April	23547
2018	Month of death, May	22975
2018	Month of death, June	21654
2018	Month of death, July	21941
2018	Month of death, August	21865
2018	Month of death, September	21842
2018	Month of death, October	23664
2018	Month of death, November	23403
2018	Month of death, December	24669
